case_id,message,mood,subcategory
0001,"At the end of it all, the day stretched out blank and heavy and I’m tired in a way sleep doesn’t fix.",very_sad,depression
0002,"Early this morning, my body feels like a low battery that never recharges on the bus I stared at the same ad for three stops I made tea and watched the steam fade.",very_sad,depression
0003,"In the middle of everything, I drifted through conversations without landing on the bus I stared at the same ad for three stops and I feel worn thin.",very_sad,depression
0004,smiles don’t reach me and I can’t fake it well and I feel worn thin.,very_sad,depression
0005,"To be real, my body feels like a low battery that never recharges at work the update landed and I felt nothing and it all feels heavy and colorless.",very_sad,depression
0006,"Somehow, the mirror shows someone tired and unfamiliar and nothing seems to lift the weight. I turned off the lights earlier than usual.",very_sad,depression
0007,"In the middle of everything, the mirror shows someone tired and unfamiliar the lecture ended and I couldn’t recall a single point and nothing seems to lift the weight.",very_sad,depression
0008,waking up felt like pushing through wet concrete,very_sad,depression
0009,"In the middle of everything, I drifted through conversations without landing and the emptiness hums quietly.",very_sad,depression
0010,"Today, I drifted through conversations without landing the weather was beautiful and I stayed numb and nothing seems to lift the weight.",very_sad,depression
0011,"This evening, I shut the music off because it made me sadder and hope feels very far away.",very_sad,depression
0012,"Early this morning, I keep moving but it feels like standing still and I feel worn thin.",very_sad,depression
0013,"Honestly, the things I love feel far away and faint on the bus I stared at the same ad for three stops and every step feels two steps back.",very_sad,depression
0014,the day stretched out blank and heavy at work the update landed and I felt nothing and I’m tired in a way sleep doesn’t fix. I wrote a few lines and then stopped.,very_sad,depression
0015,the things I love feel far away and faint and it all feels heavy and colorless.,very_sad,depression
0016,"This evening, the day stretched out blank and heavy on the bus I stared at the same ad for three stops and every step feels two steps back.",very_sad,depression
0017,"In the middle of everything, the day stretched out blank and heavy my phone lit up with news I couldn’t care about and nothing seems to lift the weight.",very_sad,depression
0018,"This evening, I drifted through conversations without landing I rewound a song three times and felt less each loop and the emptiness hums quietly.",very_sad,depression
0019,the day stretched out blank and heavy I rewound a song three times and felt less each loop and I’m tired in a way sleep doesn’t fix.,very_sad,depression
0020,"This evening, my body feels like a low battery that never recharges",very_sad,depression
0021,the day stretched out blank and heavy the lecture ended and I couldn’t recall a single point and it all feels heavy and colorless.,very_sad,depression
0022,"In the middle of everything, my body feels like a low battery that never recharges the weather was beautiful and I stayed numb and nothing seems to lift the weight. I made tea and watched the steam fade.",very_sad,depression
0023,my body feels like a low battery that never recharges and the day moved past me like fog.,very_sad,depression
0024,"After a long silence, I shut the music off because it made me sadder at work the update landed and I felt nothing and hope feels very far away.",very_sad,depression
0025,my appetite dipped and meals turned into chores and I can’t find any spark in me.,very_sad,depression
0026,"Honestly, I keep moving but it feels like standing still I rewound a song three times and felt less each loop and nothing seems to lift the weight.",very_sad,depression
0027,"Today, smiles don’t reach me and I can’t fake it well laundry finished and I let it sit in the basket and I’m not sure how to keep going like this.",very_sad,depression
0028,my body feels like a low battery that never recharges,very_sad,depression
0029,"In the middle of everything, I keep moving but it feels like standing still and the day moved past me like fog.",very_sad,depression
0030,I drifted through conversations without landing the apartment was clean and I still felt messy inside and every step feels two steps back.,very_sad,depression
0031,"After a long silence, my appetite dipped and meals turned into chores I cooked something simple and barely tasted it and nothing seems to lift the weight.",very_sad,depression
0032,"After a long silence, waking up felt like pushing through wet concrete at work the update landed and I felt nothing I breathed slowly and counted to ten again and again.",very_sad,depression
0033,"This evening, I drifted through conversations without landing laundry finished and I let it sit in the basket and it all feels heavy and colorless. I folded clothes in silence.",very_sad,depression
0034,"At the end of it all, the mirror shows someone tired and unfamiliar and I can’t find any spark in me.",very_sad,depression
0035,smiles don’t reach me and I can’t fake it well and I’m not sure how to keep going like this.,very_sad,depression
0036,the things I love feel far away and faint I rewound a song three times and felt less each loop and I’m tired in a way sleep doesn’t fix.,very_sad,depression
0037,the things I love feel far away and faint the lecture ended and I couldn’t recall a single point and every step feels two steps back. I made tea and watched the steam fade.,very_sad,depression
0038,"After a long silence, the day stretched out blank and heavy laundry finished and I let it sit in the basket I made tea and watched the steam fade.",very_sad,depression
0039,"Today, the day stretched out blank and heavy and it all feels heavy and colorless.",very_sad,depression
0040,I shut the music off because it made me sadder and I feel worn thin. I washed my face and tried to reset.,very_sad,depression
0041,"Today, my body feels like a low battery that never recharges and the day moved past me like fog. I put on a song and it felt hollow.",very_sad,depression
0042,the mirror shows someone tired and unfamiliar laundry finished and I let it sit in the basket I folded clothes in silence.,very_sad,depression
